Day_Count,Day,StoreID,ProductName,Product_Calorie,Promo_applied,specials,mods,Amt,weather,Inflation_Percentage,Unemployment_Percentage
1,Tuesday,S001,Veg Burger,625,0,0,0,13125.0,cold,4.7,1.7
1,Tuesday,S001,Fries,400,0,0,0,11250.0,cold,4.7,1.7
1,Tuesday,S001,Coca-Cola,100,0,0,0,17680.0,cold,4.7,1.7
1,Tuesday,S002,Cheese Burger,800,0,0,0,7800.0,cold,4.7,1.7
1,Tuesday,S002,Fries,400,0,0,0,16275.0,cold,4.7,1.7
1,Tuesday,S002,Chicken Burger,700,0,0,0,8840.0,cold,4.7,1.7
1,Tuesday,S003,Fries,400,0,0,0,14325.0,humid,4.7,1.7
1,Tuesday,S002,Veg Burger,625,0,0,0,18000.0,cold,4.7,1.7
1,Tuesday,S003,Coca-Cola,100,0,0,0,25925.0,humid,4.7,1.7
1,Tuesday,S001,Cheese Burger,800,0,0,0,13600.0,cold,4.7,1.7
1,Tuesday,S002,Coca-Cola,100,0,0,0,26180.0,cold,4.7,1.7
1,Tuesday,S003,Cheese Burger,800,0,0,0,7200.0,humid,4.7,1.7
1,Tuesday,S003,Veg Burger,625,0,0,0,3187500.0,humid,4.7,1.7
1,Tuesday,S001,Chicken Burger,700,0,0,0,19040.0,cold,4.7,1.7
1,Tuesday,S003,Chicken Burger,700,0,0,0,7650.0,humid,4.7,1.7
2,Wednesday,S002,Fries,400,0,0,0,11925.0,cold,4.7,1.7
2,Wednesday,S002,Custom,100,0,0,1,0.0,cold,4.7,1.7
2,Wednesday,S001,Cheese Burger,800,0,0,0,10000.0,hot,4.7,1.7
2,Wednesday,S003,Coca-Cola,100,0,0,0,19210.0,hot,4.7,1.7
2,Wednesday,S003,Fries,400,0,0,0,10275.0,hot,4.7,1.7
2,Wednesday,S002,Coca-Cola,100,0,0,0,17340.0,cold,4.7,1.7
2,Wednesday,S003,Cheese Burger,800,0,0,0,5800.0,hot,4.7,1.7
2,Wednesday,S003,Veg Burger,625,0,0,0,2443750.0,hot,4.7,1.7
2,Wednesday,S001,Fries,400,0,0,0,8400.0,hot,4.7,1.7
2,Wednesday,S001,Veg Burger,625,0,0,0,9000.0,hot,4.7,1.7
2,Wednesday,S001,Chicken Burger,700,0,0,0,12750.0,hot,4.7,1.7
2,Wednesday,S003,Chicken Burger,700,0,0,0,6120.0,hot,4.7,1.7
2,Wednesday,S001,Coca-Cola,100,0,0,0,12665.0,hot,4.7,1.7
2,Wednesday,S002,Chicken Burger,700,0,0,0,6120.0,cold,4.7,1.7
2,Wednesday,S002,Veg Burger,625,0,0,0,14625.0,cold,4.7,1.7
2,Wednesday,S002,Cheese Burger,800,0,0,0,5400.0,cold,4.7,1.7
3,Thursday,S002,Chicken Burger,700,0,0,0,7140.0,rainy,4.7,1.7
3,Thursday,S001,Cheese Burger,800,0,0,0,12200.0,cold,4.7,1.7
3,Thursday,S003,Chicken Burger,700,0,0,0,7310.0,rainy,4.7,1.7
3,Thursday,S001,Chicken Burger,700,0,0,0,16830.0,cold,4.7,1.7
3,Thursday,S003,Veg Burger,625,0,0,0,2953750.0,rainy,4.7,1.7
